업그레이드 명칭,분류,기능설명,플레이버 텍스트,관련 구현내용 경로,세부구현을 위한 필요사항
"1. 매그넘 0 ",무기(권총),"권총을 매그넘으로 대체합니다. (데미지 2배, 공격속도 25% 감소)",심사숙고한 강력한 한 방을,"Bullet 프리팹의 HitSource컴포넌트 damage
Player 프리팹의 Handgun의 Weapon컴포넌트 roundsPerMinutes","
damage에 2를 곱함
roundsPerMinutes에 0.75를 곱함"
2. 대구경 탄알 -,무기(권총),"총알의 적중판정범위가 5배 증가합니다.
(플레이어 업그레이드 효과 업그레이드 후 저장 필요)",머리가 펑 펑 터져요!,"Bullet 프리팹의 콜라이더 크기
","총알 콜라이더의 크기를 늘리는식으로 구현
"
"3. 소드-오프 - ",무기(샷건),"샷건을 소드-오프 샷건으로 대체합니다. (펠릿 수 2배, 탄퍼짐 50% 증가)",가까이 가기만 하면 즉살확정,특정 변수 필요,
"4. 초커 부착 - ",무기(샷건),탄퍼짐이 80% 줄어듭니다.,기다랗고 더 정확하게,특정 변수 필요,
"5. 아킴보 - ",무기(기관단총),"기관단총을 2개 장착합니다. (2배 사격, 반동 2배)","그들이 먼저 시작했어, 내가 아니라",기능 개발 필요,
"6. 회수 장치 - ",무기(기관단총),기관단총이 적중할 경우 30% 확률로 탄을 돌려받습니다.,초강력 자석으로 탄을 회수,기능 개발 필요,
"7. 부스터 2.0 0
 ",일반,회피 시간이 50% 늘어나고 스테미나 최대치를 1개 추가합니다.,어떤 박사가 개발한 최첨단 부스터,"Player 프리팹의 PlayerStatus 컴포넌트 stemina.maxValue, dashDurationTime
","stemina.maxValue에 2로 설정
dashDurationTime에 1.5를 곱함"
8. 경량형 신발 0,일반,속도가 20% 증가하고 슬라이딩 속도가 50% 증가합니다.,아무리 무거워도 빠르게 갈 수 있습니다,"Player 프리팹의 PlayerStatus 컴포넌트 maxSpeed, slidingMaxSpeed","maxSpeed에 1.2를 곱함
slidingMaxSpeed에 1.5를 곱함"
"9. 방탄복 0 ",일반,체력이 50% 늘어납니다.,보험을 들어서 나쁠 건 없죠,Player 프리팹의 PlayerStatus 컴포넌트 hp.MaxValue,hp.maxValue를 150으로 설정
10. 급속 온열기0,일반,과열 게이지가 30% 더 빨리 찹니다.,"좀 더 뜨겁게, 좀 더 화려하게",특정 변수 필요,
11. 스피드로더 △,일반,"재장전 속도가 150% 증가합니다.
(develop에서 연동하고 활성화시키면 됨 / 코드는 만들어놓음)",빛보다 빠른 재장전,Player 프리팹의 Handgun의 Animator 컴포넌트,애니메이션 Reload의 Speed를 2.5로 설정
"12. 반동 제어 장갑 0 ",일반,발사 속도가 50% 증가하고 반동이 50% 줄어듭니다.,매우 끈적하고 무겁습니다,"Player 프리팹의 Handgun의 Weapon 컴포넌트 roundsPerMinutes
Player 프리팹의 PlayerStatus 반동 수치(예정)","roundsPerMinutes에 1.5를 곱함
반동 수치(예정)에 0.5를 곱함"
"13. 대형 탄창 0 ",일반,탄창이 100% 증가합니다,좀 더 많이 집어넣으세요,특정 변수 필요,
"14. 냉동탄 0 ",일반,체력이 20 이하일때 주는 대미지 100% 증가합니다.,당신이 얼어붙을 수록 더욱 강해집니다,기능 개발 필요,
15. 철갑탄 0,일반,대미지가 30% 증가합니다.,강철같은 마음으로,Bullet 프리팹의 HitSource컴포넌트 damage,damage에 1.3을 곱함
"16. 소이탄 - ",일반,"적에게 화상을 부여합니다 
(화상 데미지는 아직 구현되지 않음)",화르륵! 적들을 불태우세요,기능 개발 필요,
"17. 가시탄 - ",일반,"약점(모든 적 약점: 머리)적중 시 
대미지가 50% 증가합니다",내부에서 터지는 소형 크레모아,특정 변수 필요,
"18. 엘리베이터 해커 - ",특수,선택할 수 있는 업그레이드가 1개 증가합니다. (이건 ui가 필요함),사기치는 기분이 어떠세요?,특정 변수 필요,
19. 마찰 발전기 -,특수,"슬라이딩을 할 때 과열 게이지가 조금씩 찹니다. 
(초당 2씩, 최대 30까지)

슬라이딩 하는 도중이라 플레이어와 연동 필요",마찰열을 과열로 환원합니다,기능 개발 필요,
20. 과열 축적기0,특수,과열 게이지 최대치가 300%가 됩니다.,신중히 모아뒀다가 한번에 방출하세요!,Player 프리팹의 PlayerStatus 컴포넌트 overheat.maxValue,overheat.maxValue를 300으로 설정
21. 두번째 기회 -,특수,"사망시 체력이 가득 찬 채로 부활합니다. 
(사망 로직이 짜여저 있지 않은 상태로 보류 
- 준희님이 로직 맡아주셔야 함)",정신나간 이 곳에서 부활도 이상할건 아니죠.,기능 개발 필요,
